,0
532,1.6
533,4.0
534,1.67
535,3.5
536,4.0
537,0.5
538,4.0
539,3.5
540,3.63
541,3.64
542,4.0
543,2.5
544,2.54
545,2.5
546,3.0
547,2.0
548,3.47
549,2.0
550,3.56
551,2.2
552,3.4
553,3.11
554,3.5
555,4.0
556,3.0
557,3.67
558,2.0
559,3.75
560,3.0
561,1.5
562,3.31
563,1.75
564,3.33
565,2.77
566,1.5
567,4.0
568,4.0
569,4.0
570,4.0
571,1.0
572,2.6
573,2.93
574,4.0
575,3.15
576,1.33
577,3.31
578,3.67
579,3.63
580,4.0
581,1.33
582,0.0
583,4.0
584,4.0
585,2.0
586,4.0
587,3.8
588,2.0
589,3.33
590,3.4
591,3.0
592,4.0
593,4.0
594,2.5
595,3.67
596,4.0
597,3.33
598,3.0
599,2.0
600,2.5
601,0.0
602,4.0
603,1.0
604,0.0
605,3.29
606,3.75
607,3.54
608,1.8
609,3.5
610,4.0
611,3.07
612,3.25
613,3.13
614,3.81
615,3.2
616,3.8
617,1.33
618,2.31
619,3.64
620,3.6
621,2.4
622,3.25
623,3.65
624,3.4
625,3.5
626,3.5
627,0.0
628,4.0
629,3.5
630,3.0
631,2.5
632,3.0
633,3.83
634,4.0
635,2.0
636,3.16
637,4.0
638,4.0
639,2.77
640,2.4
641,3.54
642,2.4
643,2.93
644,3.8
645,0.0
646,0.0
647,0.5
648,4.0
649,3.8
650,4.0
651,4.0
652,2.75
653,1.0
654,2.85
655,2.92
656,3.0
657,0.57
658,3.5
659,4.0
660,2.0
661,1.08
662,3.4
663,0.25
664,3.25
665,0.54
666,3.5
667,4.0
668,3.23
669,3.82
670,3.5
671,3.0
672,2.0
673,2.31
674,3.5
675,1.78
676,3.33
677,3.81
678,2.31
679,2.75
680,2.31
681,3.75
682,2.4
683,0.0
684,3.64
685,3.2
686,4.0
687,3.4
688,3.1
689,3.59
690,1.5
691,2.15
692,3.75
693,3.25
694,4.0
695,3.0
696,3.6
697,2.0
698,3.75
699,1.25
700,4.0
701,3.75
702,3.6
703,4.0
704,2.92
705,4.0
706,4.0
707,3.67
708,3.43
709,2.43
710,3.0
711,3.33
712,2.5
713,3.71
714,2.4
715,2.5
716,3.6
717,2.69
718,3.8
719,3.06
720,2.4
721,4.0
722,4.0
723,3.25
724,2.79
725,1.67
726,3.0
727,3.62
728,3.0
729,3.08
730,4.0
731,3.0
732,1.5
733,3.38
734,4.0
735,3.4
736,2.0
737,2.0
738,2.45
739,3.29
740,3.25
741,2.75
742,3.4
743,3.55
744,3.0
745,1.53
746,4.0
747,3.77
748,3.5
749,3.63
750,2.0
751,0.0
752,1.75
753,2.2
754,2.05
755,3.25
756,1.33
757,2.0
758,2.5
759,3.79
760,3.7
761,4.0
762,2.54
763,3.44
764,4.0
765,3.67
766,1.9
767,2.0
768,4.0
769,3.25
770,2.75
771,3.4
772,4.0
773,1.33
774,3.57
775,2.0
776,4.0
777,0.0
778,1.5
779,2.81
780,3.13
781,4.0
782,3.67
783,3.67
784,3.6
785,3.5
786,3.2
787,3.09
788,0.71
789,2.57
790,4.0
791,3.4
792,3.5
793,1.5
794,4.0
795,4.0
796,3.0
797,2.0
798,2.54
799,3.4
800,3.5
801,3.0
802,3.79
803,1.83
804,3.4
805,3.56
806,3.0
807,2.67
808,2.75
809,1.83
810,2.75
811,2.85
812,3.0
813,3.5
814,4.0
815,3.67
816,3.8
817,2.25
818,3.2
819,1.75
820,3.2
821,0.2
822,2.93
823,2.54
824,2.57
825,3.0
826,3.25
827,3.2
828,3.77
829,3.4
830,4.0
831,3.21
832,4.0
833,4.0
834,4.0
835,3.2
836,2.25
837,4.0
838,2.75
839,0.0
840,3.25
841,4.0
842,4.0
843,4.0
844,3.31
845,2.77
846,2.92
847,2.44
848,3.33
849,0.0
850,3.57
851,1.8
852,1.46
853,0.0
854,0.75
855,4.0
856,1.75
857,2.0
858,4.0
859,0.75
860,4.0
861,2.88
862,1.57
863,2.5
864,1.63
865,3.53
866,4.0
867,2.23
868,4.0
869,3.21
870,3.44
871,4.0
872,2.0
873,0.0
874,3.44
875,4.0
876,3.56
877,1.2
878,4.0
879,4.0
880,4.0
881,3.63
882,1.0
883,0.75
884,4.0
885,3.2
886,4.0
887,2.08
888,3.33
889,3.38
890,2.75
891,2.75
892,2.25
893,4.0
894,4.0
895,3.0
896,3.4
897,2.0
898,3.2
899,2.0
900,3.57
901,2.44
902,3.27
903,4.0
904,3.33
905,3.69
906,0.5
907,2.59
908,4.0
909,0.0
910,2.0
911,3.84
912,3.77
913,3.0
914,3.0
915,4.0
916,3.8
917,3.8
918,3.0
919,2.0
920,0.69
921,3.77
922,2.0
923,2.67
924,3.33
925,3.14
926,2.5
927,2.0
928,3.0
929,3.0
930,3.5
931,2.5
932,2.65
933,3.4
934,4.0
935,2.25
936,1.8
937,4.0
938,2.8
939,3.5
940,3.25
941,4.0
942,3.0
943,4.0
944,3.44
945,2.5
946,3.38
947,2.5
948,2.5
949,3.75
950,3.0
951,1.92
952,2.69
953,4.0
954,3.27
955,2.8
956,3.5
957,1.83
958,3.5
959,3.8
960,3.17
961,2.77
962,1.0
963,3.31
964,4.0
965,2.5
966,2.47
967,3.0
968,4.0
969,2.58
970,3.79
971,3.27
972,2.0
973,3.6
974,0.0
975,3.33
976,4.0
977,3.45
978,3.0
979,1.92
980,2.36
981,3.81
982,2.0
983,3.0
984,2.5
985,3.0
986,3.0
987,3.5
988,3.56
989,3.33
990,4.0
991,2.43
992,3.33
993,2.15
994,2.86
995,2.75
996,1.81
997,4.0
998,4.0
999,4.0
1000,3.6
1001,1.8
1002,3.15
1003,2.0
1004,3.77
1005,1.86
1006,3.6
1007,3.0
1008,4.0
1009,1.5
1010,3.8
1011,3.33
1012,3.33
1013,3.4
1014,0.0
1015,0.0
1016,4.0
1017,1.94
1018,3.6
1019,0.0
1020,0.88
1021,3.5
1022,3.26
1023,0.0
1024,3.5
1025,3.43
1026,1.14
1027,3.0
1028,2.33
1029,1.6
1030,3.07
1031,1.0
1032,3.25
1033,2.3
1034,3.57
1035,2.5
1036,4.0
1037,3.0
1038,0.0
1039,2.5
1040,1.25
1041,3.0
1042,3.33
1043,0.2
1044,4.0
1045,4.0
1046,2.75
1047,0.6
1048,4.0
1049,3.0
1050,3.08
1051,3.0
1052,2.5
1053,3.0
1054,2.0
1055,2.0
1056,1.75
1057,3.0
1058,4.0
1059,4.0
1060,3.5
1061,3.08
1062,4.0
1063,3.0
1064,3.75
1065,3.81
1066,2.47
1067,3.2
1068,3.25
1069,2.5
1070,4.0
1071,2.77
1072,4.0
1073,2.27
1074,3.0
1075,2.64
1076,3.0
1077,3.8
1078,2.8
1079,3.0
1080,1.0
1081,2.75
1082,0.0
1083,3.6
1084,3.25
1085,3.36
1086,4.0
1087,4.0
1088,4.0
1089,2.0
1090,3.5
1091,0.43
1092,3.25
1093,1.75
1094,4.0
1095,4.0
1096,0.33
1097,3.0
1098,3.0
1099,3.5
1100,3.69
1101,3.33
1102,1.87
1103,3.64
1104,1.75
1105,4.0
1106,3.69
1107,0.0
1108,4.0
1109,2.33
1110,3.33
1111,2.23
1112,3.43
1113,4.0
1114,3.25
1115,2.67
1116,4.0
1117,2.5
1118,1.5
1119,3.81
1120,4.0
1121,3.67
1122,1.5
1123,4.0
1124,2.33
1125,1.62
1126,1.0
1127,1.5
1128,3.0
1129,4.0
1130,4.0
1131,2.6
1132,3.73
1133,1.8
1134,3.53
1135,4.0
1136,2.0
1137,3.47
1138,3.46
1139,2.5
1140,3.56
1141,4.0
1142,3.2
1143,2.67
1144,3.0
1145,2.0
1146,0.8
1147,4.0
1148,3.0
1149,3.6
1150,3.4
1151,4.0
1152,3.75
1153,3.23
1154,2.92
1155,3.0
1156,2.62
1157,3.56
1158,3.5
1159,3.59
1160,4.0
1161,4.0
1162,3.0
1163,2.5
1164,2.0
1165,3.63
1166,3.0
1167,2.88
1168,1.25
1169,3.69
1170,3.6
1171,3.0
1172,3.92
1173,2.25
1174,1.25
1175,1.5
1176,3.0
1177,3.5
1178,3.18
1179,3.71
1180,4.0
1181,2.77
1182,4.0
1183,4.0
1184,1.75
1185,3.33
1186,1.0
1187,0.0
1188,2.75
1189,3.5
1190,2.5
1191,0.33
1192,4.0
1193,2.8
1194,3.5
1195,3.0
1196,4.0
1197,3.0
1198,4.0
1199,3.5
1200,0.0
1201,2.4
1202,1.75
1203,4.0
1204,3.0
1205,3.19
1206,2.86
1207,4.0
1208,3.5
1209,3.31
1210,4.0
1211,3.0
1212,4.0
1213,2.33
1214,3.75
1215,1.5
1216,3.79
1217,3.4
1218,3.4
1219,3.33
1220,1.8
1221,3.0
1222,2.56
1223,3.4
1224,0.86
1225,2.0
1226,3.25
1227,2.85
1228,4.0
1229,4.0
1230,3.8
1231,2.6
1232,1.0
1233,3.0
1234,3.83
1235,4.0
1236,2.2
1237,2.77
1238,3.0
1239,0.0
1240,3.5
1241,2.0
1242,3.07
1243,3.33
1244,2.5
1245,3.75
1246,3.77
1247,3.5
1248,3.25
1249,4.0
1250,2.5
1251,4.0
1252,3.0
1253,2.75
1254,3.19
1255,3.81
1256,2.0
1257,2.25
1258,1.25
1259,4.0
1260,3.8
1261,4.0
1262,1.0
1263,2.33
1264,2.36
1265,3.5
1266,3.46
1267,3.0
1268,4.0
1269,4.0
1270,3.0
1271,1.5
1272,3.6
1273,1.64
1274,2.69
1275,4.0
1276,3.75
1277,1.25
1278,3.45
1279,4.0
1280,4.0
1281,3.19
1282,2.43
1283,3.78
1284,3.31
1285,3.0
1286,4.0
1287,3.76
1288,0.0
1289,1.92
1290,4.0
1291,2.85
1292,2.33
1293,0.77
1294,0.0
1295,4.0
1296,3.31
1297,1.85
1298,2.0
1299,4.0
1300,0.0
1301,2.54
1302,4.0
1303,2.4
1304,4.0
1305,4.0
1306,4.0
1307,2.75
1308,4.0
1309,3.33
1310,3.8
1311,3.0
1312,3.0
1313,3.79
1314,3.47
1315,3.08
1316,3.77
1317,0.0
1318,2.5
1319,3.5
1320,4.0
1321,1.67
1322,2.5
1323,3.63
1324,3.5
1325,4.0
1326,3.46
1327,4.0
1328,4.0
1329,3.43
1330,4.0
1331,3.14
1332,3.5
1333,2.8
1334,4.0
1335,3.17
1336,3.5
1337,2.5
1338,3.63
1339,3.4
1340,3.33
1341,1.0
1342,3.13
1343,4.0
1344,2.67
1345,2.36
1346,3.15
1347,2.77
1348,2.64
1349,3.17
1350,1.5
1351,0.0
1352,2.0
1353,3.0
1354,0.0
1355,1.4
1356,2.36
1357,1.7
1358,1.5
1359,2.67
1360,4.0
1361,2.2
1362,1.11
1363,3.81
1364,0.0
1365,2.45
1366,3.59
1367,3.5
1368,3.33
1369,3.81
1370,4.0
1371,2.38
1372,3.2
1373,3.0
1374,2.81
1375,4.0
1376,3.4
1377,3.25
1378,2.87
1379,3.67
1380,2.0
1381,2.0
1382,3.0
1383,3.65
1384,3.0
1385,3.81
1386,2.38
1387,3.0
1388,2.88
1389,2.6
1390,3.8
1391,3.08
1392,1.85
1393,0.8
1394,3.4
1395,1.5
1396,3.0
1397,1.71
1398,0.0
1399,3.69
1400,2.5
1401,4.0
1402,3.75
1403,2.54
1404,4.0
1405,2.5
1406,3.65
1407,2.8
1408,4.0
1409,4.0
1410,4.0
1411,2.0
1412,3.23
1413,3.0
1414,4.0
1415,4.0
1416,1.1
1417,3.2
1418,3.6
1419,4.0
1420,4.0
1421,3.77
1422,2.8
1423,2.0
1424,3.2
1425,4.0
1426,3.44
1427,1.5
1428,3.5
1429,3.81
1430,3.0
1431,3.29
1432,2.0
1433,3.25
1434,3.5
1435,2.06
1436,1.0
1437,3.81
1438,4.0
1439,3.47
1440,3.75
1441,1.75
1442,0.0
1443,3.0
1444,4.0
1445,0.0
1446,4.0
1447,3.63
1448,4.0
1449,4.0
1450,2.41
1451,3.8
1452,3.0
1453,3.67
1454,4.0
1455,4.0
1456,1.0
1457,2.6
1458,2.25
1459,1.56
1460,1.33
1461,3.5
1462,4.0
1463,2.57
1464,2.46
1465,3.75
1466,1.44
1467,3.0
1468,2.67
1469,2.46
1470,4.0
1471,2.69
1472,0.0
1473,4.0
1474,3.77
1475,3.77
1476,1.69
1477,4.0
1478,4.0
1479,2.81
1480,2.69
1481,1.38
1482,2.6
1483,2.41
1484,2.69
1485,3.0
1486,4.0
1487,2.75
1488,2.5
1489,4.0
1490,2.6
1491,2.5
1492,1.33
1493,4.0
1494,0.0
1495,3.08
1496,2.63
1497,0.0
1498,2.67
1499,3.5
1500,4.0
1501,2.6
1502,3.0
1503,2.6
1504,3.5
1505,2.08
1506,2.59
1507,2.41
1508,3.23
1509,2.67
1510,2.15
1511,0.0
1512,2.5
1513,2.0
1514,4.0
1515,4.0
1516,2.75
1517,4.0
1518,1.0
1519,2.2
1520,2.0
1521,2.75
1522,0.33
1523,2.6
1524,0.0
1525,3.0
1526,4.0
1527,3.5
1528,0.0
1529,3.0
1530,2.69
1531,4.0
1532,4.0
1533,3.23
1534,4.0
1535,4.0
1536,4.0
1537,2.75
1538,3.4
1539,3.69
1540,2.64
1541,2.83
1542,3.0
1543,2.0
1544,4.0
1545,2.92
1546,4.0
1547,4.0
1548,3.0
1549,3.0
1550,1.6
1551,2.6
1552,3.33
1553,2.33
1554,4.0
1555,4.0
1556,2.0
1557,3.0
1558,4.0
1559,1.92
1560,3.36
1561,2.0
1562,2.86
1563,3.08
1564,3.6
1565,3.0
1566,3.38
1567,0.0
1568,3.36
1569,4.0
1570,3.0
1571,3.0
1572,4.0
1573,2.0
1574,3.67
1575,3.23
1576,2.0
1577,1.0
1578,1.6
1579,1.5
1580,4.0
1581,4.0
1582,1.63
1583,4.0
1584,1.0
1585,3.29
1586,2.0
1587,3.75
1588,0.0
1589,3.53
1590,1.69
1591,3.4
1592,0.0
1593,1.2
1594,2.57
1595,3.5
1596,2.63
1597,3.75
1598,1.77
1599,2.82
1600,2.68
1601,1.6
1602,0.0
1603,4.0
1604,0.0
1605,3.83
1606,3.75
1607,3.0
1608,3.0
1609,3.8
1610,4.0
1611,3.31
1612,4.0
1613,2.25
1614,2.47
1615,2.38
1616,3.0
1617,0.0
1618,2.25
1619,2.25
1620,2.83
1621,1.69
1622,4.0
1623,3.25
1624,1.4
1625,2.33
1626,1.62
1627,3.14
1628,4.0
1629,4.0
1630,3.0
1631,3.5
1632,2.67
1633,3.23
1634,2.4
1635,3.69
1636,3.79
1637,4.0
1638,2.0
1639,3.83
1640,2.0
1641,3.33
1642,3.2
1643,1.87
1644,2.83
1645,3.8
1646,3.33
1647,3.2
1648,1.85
1649,3.25
1650,2.94
1651,2.87
1652,3.08
1653,4.0
1654,4.0
1655,4.0
1656,4.0
1657,2.81
1658,3.5
1659,4.0
1660,3.29
1661,1.46
1662,3.6
1663,2.59
1664,3.8
1665,1.5
1666,3.6
1667,0.5
1668,3.38
1669,1.93
1670,0.0
1671,4.0
1672,3.53
1673,4.0
1674,4.0
1675,0.0
1676,3.6
1677,3.33
1678,2.54
1679,2.73
1680,2.38
1681,3.25
1682,4.0
1683,4.0
1684,2.75
1685,1.75
1686,3.86
1687,4.0
1688,3.0
1689,2.46
1690,2.33
1691,2.25
1692,4.0
1693,2.0
1694,3.5
1695,4.0
1696,3.44
1697,3.0
1698,3.77
1699,2.77
1700,2.67
1701,3.5
1702,4.0
1703,4.0
1704,3.8
1705,2.5
1706,3.15
1707,4.0
1708,1.67
1709,2.8
1710,2.86
1711,0.0
1712,2.3
1713,3.0
1714,2.0
1715,2.6
1716,3.25
1717,3.5
1718,3.0
1719,2.5
1720,3.0
1721,3.39
1722,0.0
1723,3.6
1724,3.75
1725,3.42
1726,3.81
1727,2.5
1728,3.17
1729,3.08
1730,3.0
1731,3.0
1732,4.0
1733,2.0
1734,3.33
1735,3.46
1736,3.57
1737,2.0
1738,2.13
1739,2.8
1740,3.2
1741,3.2
1742,2.15
1743,2.82
1744,3.81
1745,3.0
1746,3.07
1747,3.2
1748,1.38
1749,4.0
1750,1.23
1751,3.5
1752,3.44
1753,3.79
1754,3.19
1755,2.15
1756,3.0
1757,4.0
1758,3.0
1759,3.57
1760,2.0
1761,3.0
1762,2.67
1763,4.0
1764,2.0
1765,3.57
1766,3.2
1767,4.0
1768,0.25
1769,1.7
1770,3.75
1771,3.31
1772,3.6
1773,0.0
1774,4.0
1775,2.57
1776,0.0
1777,3.25
1778,1.57
1779,3.2
1780,4.0
1781,3.0
1782,2.69
1783,2.5
1784,4.0
1785,1.0
1786,3.8
1787,3.33
1788,3.75
1789,3.25
1790,3.5
1791,4.0
1792,3.0
1793,3.5
1794,1.5
1795,3.0
1796,4.0
1797,3.18
1798,1.83
1799,3.0
1800,4.0
1801,3.75
1802,3.0
1803,1.46
1804,4.0
1805,3.54
1806,3.38
1807,3.0
1808,2.07
1809,2.6
1810,1.0
1811,4.0
1812,1.0
1813,3.5
1814,2.91
1815,4.0
1816,2.0
1817,0.0
1818,3.79
1819,2.23
1820,4.0
1821,3.19
1822,3.0
1823,4.0
1824,2.25
1825,2.0
1826,2.62
1827,4.0
1828,3.25
1829,0.0
1830,4.0
1831,3.76
1832,4.0
1833,3.0
1834,2.25
1835,1.5
1836,3.0
1837,3.75
1838,3.5
1839,3.69
1840,3.5
1841,3.4
1842,3.69
1843,3.23
1844,2.67
1845,2.0
1846,3.25
1847,2.6
1848,2.23
1849,3.65
1850,2.29
1851,3.71
1852,3.25
1853,3.0
1854,3.33
1855,2.6
1856,3.33
1857,4.0
1858,4.0
1859,3.4
1860,2.0
1861,4.0
1862,3.75
1863,4.0
1864,2.75
1865,1.0
1866,4.0
1867,2.0
